Namespace(b1=0.5, b2=0.999, batch_size=64, channels=3, img_size=64, latent_dim=100, lr=0.0002, n_cpu=8, n_epochs=200, sample_interval=400)
[Epoch 0/200] [Batch 74/91] [D loss: 0.199060] [G loss: 1.198960]
[Epoch 0/200] [Batch 75/91] [D loss: 0.210219] [G loss: 1.145526]
[Epoch 0/200] [Batch 76/91] [D loss: 0.207324] [G loss: 1.123652]
[Epoch 0/200] [Batch 77/91] [D loss: 0.246460] [G loss: 1.092429]
[Epoch 0/200] [Batch 78/91] [D loss: 0.300845] [G loss: 0.818264]
[Epoch 0/200] [Batch 79/91] [D loss: 0.334392] [G loss: 0.754660]
[Epoch 0/200] [Batch 80/91] [D loss: 0.403642] [G loss: 0.785406]
[Epoch 0/200] [Batch 81/91] [D loss: 0.513682] [G loss: 0.449958]
[Epoch 0/200] [Batch 82/91] [D loss: 0.529560] [G loss: 0.430354]
[Epoch 0/200] [Batch 83/91] [D loss: 0.468739] [G loss: 0.502809]
[Epoch 0/200] [Batch 84/91] [D loss: 0.415508] [G loss: 0.612923]
[Epoch 0/200] [Batch 85/91] [D loss: 0.459637] [G loss: 0.690111]
[Epoch 0/200] [Batch 86/91] [D loss: 0.465009] [G loss: 0.508939]
[Epoch 0/200] [Batch 87/91] [D loss: 0.467544] [G loss: 0.503016]
[Epoch 0/200] [Batch 88/91] [D loss: 0.424197] [G loss: 0.567773]
[Epoch 0/200] [Batch 89/91] [D loss: 0.372079] [G loss: 0.661768]
[Epoch 0/200] [Batch 90/91] [D loss: 0.330031] [G loss: 0.771849]
[Epoch 1/200] [Batch 0/91] [D loss: 0.276842] [G loss: 0.891442]
[Epoch 1/200] [Batch 1/91] [D loss: 0.267130] [G loss: 1.009564]
[Epoch 1/200] [Batch 2/91] [D loss: 0.232811] [G loss: 1.039778]
[Epoch 1/200] [Batch 3/91] [D loss: 0.211636] [G loss: 1.095108]
[Epoch 1/200] [Batch 4/91] [D loss: 0.190061] [G loss: 1.195415]
[Epoch 1/200] [Batch 5/91] [D loss: 0.170859] [G loss: 1.306824]
[Epoch 1/200] [Batch 6/91] [D loss: 0.161653] [G loss: 1.384533]
[Epoch 1/200] [Batch 7/91] [D loss: 0.179184] [G loss: 1.279626]
[Epoch 1/200] [Batch 8/91] [D loss: 0.192660] [G loss: 1.161277]
[Epoch 1/200] [Batch 9/91] [D loss: 0.201373] [G loss: 1.149205]
[Epoch 1/200] [Batch 10/91] [D loss: 0.232663] [G loss: 1.070743]
[Epoch 1/200] [Batch 11/91] [D loss: 0.298884] [G loss: 0.833755]
[Epoch 1/200] [Batch 12/91] [D loss: 0.405432] [G loss: 0.772766]
[Epoch 1/200] [Batch 13/91] [D loss: 0.596122] [G loss: 0.367071]
[Epoch 1/200] [Batch 14/91] [D loss: 0.591264] [G loss: 0.371161]
[Epoch 1/200] [Batch 15/91] [D loss: 0.498126] [G loss: 0.468028]
[Epoch 1/200] [Batch 16/91] [D loss: 0.401102] [G loss: 0.605280]
[Epoch 1/200] [Batch 17/91] [D loss: 0.357330] [G loss: 0.763649]
[Epoch 1/200] [Batch 18/91] [D loss: 0.352557] [G loss: 0.736070]
[Epoch 1/200] [Batch 19/91] [D loss: 0.348085] [G loss: 0.728222]
[Epoch 1/200] [Batch 20/91] [D loss: 0.316674] [G loss: 0.779315]
[Epoch 1/200] [Batch 21/91] [D loss: 0.311055] [G loss: 0.890530]
[Epoch 1/200] [Batch 22/91] [D loss: 0.290154] [G loss: 0.848362]
[Epoch 1/200] [Batch 23/91] [D loss: 0.254585] [G loss: 0.972816]
[Epoch 1/200] [Batch 24/91] [D loss: 0.238476] [G loss: 1.110015]
[Epoch 1/200] [Batch 25/91] [D loss: 0.236316] [G loss: 0.982901]
[Epoch 1/200] [Batch 26/91] [D loss: 0.185301] [G loss: 1.185636]
[Epoch 1/200] [Batch 27/91] [D loss: 0.184464] [G loss: 1.472664]
[Epoch 1/200] [Batch 28/91] [D loss: 0.253276] [G loss: 0.929319]
[Epoch 1/200] [Batch 29/91] [D loss: 0.246582] [G loss: 0.947336]
[Epoch 1/200] [Batch 30/91] [D loss: 0.180986] [G loss: 1.218732]
[Epoch 1/200] [Batch 31/91] [D loss: 0.669292] [G loss: 1.464592]
[Epoch 1/200] [Batch 32/91] [D loss: 1.093243] [G loss: 0.162085]
[Epoch 1/200] [Batch 33/91] [D loss: 1.187317] [G loss: 0.118631]
[Epoch 1/200] [Batch 34/91] [D loss: 1.081223] [G loss: 0.158295]
[Epoch 1/200] [Batch 35/91] [D loss: 0.750444] [G loss: 0.254933]
[Epoch 1/200] [Batch 36/91] [D loss: 0.604714] [G loss: 0.357836]
[Epoch 1/200] [Batch 37/91] [D loss: 0.483441] [G loss: 0.484857]
[Epoch 1/200] [Batch 38/91] [D loss: 0.384830] [G loss: 0.625332]
[Epoch 1/200] [Batch 39/91] [D loss: 0.329056] [G loss: 0.765919]
[Epoch 1/200] [Batch 40/91] [D loss: 0.378933] [G loss: 0.880894]
[Epoch 1/200] [Batch 41/91] [D loss: 0.353715] [G loss: 0.686412]
[Epoch 1/200] [Batch 42/91] [D loss: 0.373822] [G loss: 0.644609]
[Epoch 1/200] [Batch 43/91] [D loss: 0.356560] [G loss: 0.686745]
[Epoch 1/200] [Batch 44/91] [D loss: 0.320473] [G loss: 0.765934]
[Epoch 1/200] [Batch 45/91] [D loss: 0.295241] [G loss: 0.858705]
[Epoch 1/200] [Batch 46/91] [D loss: 0.288054] [G loss: 0.917600]
[Epoch 1/200] [Batch 47/91] [D loss: 0.279216] [G loss: 0.880211]
[Epoch 1/200] [Batch 48/91] [D loss: 0.274618] [G loss: 0.907461]
[Epoch 1/200] [Batch 49/91] [D loss: 0.281854] [G loss: 0.939278]
[Epoch 1/200] [Batch 50/91] [D loss: 0.262379] [G loss: 0.930550]
[Epoch 1/200] [Batch 51/91] [D loss: 0.264634] [G loss: 0.975476]
[Epoch 1/200] [Batch 52/91] [D loss: 0.270598] [G loss: 0.902999]
[Epoch 1/200] [Batch 53/91] [D loss: 0.261398] [G loss: 0.950707]
[Epoch 1/200] [Batch 54/91] [D loss: 0.260950] [G loss: 1.004245]
[Epoch 1/200] [Batch 55/91] [D loss: 0.265379] [G loss: 0.902292]
[Epoch 1/200] [Batch 56/91] [D loss: 0.260852] [G loss: 0.954701]
[Epoch 1/200] [Batch 57/91] [D loss: 0.270292] [G loss: 0.984985]
[Epoch 1/200] [Batch 58/91] [D loss: 0.311518] [G loss: 0.774553]
[Epoch 1/200] [Batch 59/91] [D loss: 0.290475] [G loss: 0.840311]
[Epoch 1/200] [Batch 60/91] [D loss: 0.367686] [G loss: 0.977842]
[Epoch 1/200] [Batch 61/91] [D loss: 0.641247] [G loss: 0.326551]
[Epoch 1/200] [Batch 62/91] [D loss: 0.724173] [G loss: 0.269247]
[Epoch 1/200] [Batch 63/91] [D loss: 0.663170] [G loss: 0.309830]
[Epoch 1/200] [Batch 64/91] [D loss: 0.552881] [G loss: 0.405912]
[Epoch 1/200] [Batch 65/91] [D loss: 0.431247] [G loss: 0.552805]
[Epoch 1/200] [Batch 66/91] [D loss: 0.335907] [G loss: 0.734767]
[Epoch 1/200] [Batch 67/91] [D loss: 0.318385] [G loss: 0.911207]
[Epoch 1/200] [Batch 68/91] [D loss: 0.282376] [G loss: 0.879682]
[Epoch 1/200] [Batch 69/91] [D loss: 0.278892] [G loss: 0.901349]
[Epoch 1/200] [Batch 70/91] [D loss: 0.283751] [G loss: 0.930550]
[Epoch 1/200] [Batch 71/91] [D loss: 0.272936] [G loss: 0.901044]
[Epoch 1/200] [Batch 72/91] [D loss: 0.268354] [G loss: 0.931571]
[Epoch 1/200] [Batch 73/91] [D loss: 0.263145] [G loss: 0.951285]
[Epoch 1/200] [Batch 74/91] [D loss: 0.266952] [G loss: 0.948100]
[Epoch 1/200] [Batch 75/91] [D loss: 0.281737] [G loss: 0.914173]
[Epoch 1/200] [Batch 76/91] [D loss: 0.283665] [G loss: 0.885806]
[Epoch 1/200] [Batch 77/91] [D loss: 0.283792] [G loss: 0.880801]
[Epoch 1/200] [Batch 78/91] [D loss: 0.298092] [G loss: 0.911866]
[Epoch 1/200] [Batch 79/91] [D loss: 0.337256] [G loss: 0.725408]
[Epoch 1/200] [Batch 80/91] [D loss: 0.309447] [G loss: 0.790159]
[Epoch 1/200] [Batch 81/91] [D loss: 0.375717] [G loss: 0.942745]
[Epoch 1/200] [Batch 82/91] [D loss: 0.557919] [G loss: 0.399607]
[Epoch 1/200] [Batch 83/91] [D loss: 0.597820] [G loss: 0.362935]
[Epoch 1/200] [Batch 84/91] [D loss: 0.525283] [G loss: 0.432327]
[Epoch 1/200] [Batch 85/91] [D loss: 0.441699] [G loss: 0.535845]
[Epoch 1/200] [Batch 86/91] [D loss: 0.362731] [G loss: 0.665744]
[Epoch 1/200] [Batch 87/91] [D loss: 0.298221] [G loss: 0.825098]
[Epoch 1/200] [Batch 88/91] [D loss: 0.297037] [G loss: 0.986736]
[Epoch 1/200] [Batch 89/91] [D loss: 0.273638] [G loss: 0.881652]
[Epoch 1/200] [Batch 90/91] [D loss: 0.267279] [G loss: 0.899621]
[Epoch 2/200] [Batch 0/91] [D loss: 0.243543] [G loss: 0.990576]
[Epoch 2/200] [Batch 1/91] [D loss: 0.236980] [G loss: 1.092150]
[Epoch 2/200] [Batch 2/91] [D loss: 0.241649] [G loss: 0.984995]
